Reporting Area,MMWR Year,MMWR Week,"Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Current week","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Current week, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Previous 52 weeks Max†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Previous 52 weeks Max†, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2020†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2020†, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2019†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2019†, flag","Chancroid, Current week","Chancroid, Current week, flag","Chancroid, Previous 52 weeks Max†","Chancroid, Previous 52 weeks Max†, flag","Chancroid, Cum 2020†","Chancroid, Cum 2020†, flag","Chancroid, Cum 2019†","Chancroid, Cum 2019†, flag","Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Max†","Chlamydia trachomatis infection, Previous 52 weeks Max†, flag","Chlamydia trachomatis infection, Cum 2020†","Chlamydia trachomatis infection, Cum 2020†, flag","Chlamydia trachomatis infection, Cum 2019†","Chlamydia trachomatis infection, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
ARIZONA,2020,15,4,,5,,17,,27,,,-,1,,,-,,-,248,,956,,10104,,12540,,ARIZONA,,20201549,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201564,
WISCONSIN,2020,15,,-,3,,3,,8,,,-,0,,,-,,-,221,,686,,6638,,8419,,WISCONSIN,,20201519,POINT (-89.732969 44.639954)
IDAHO,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,22,,173,,1731,,2105,,IDAHO,,20201551,POINT (-114.659366 44.389073)
MICHIGAN,2020,15,,-,6,,,-,34,,,-,0,,,-,,-,,-,1172,,8981,,14480,,MICHIGAN,,20201517,POINT (-85.730977 44.874798)
GEORGIA,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,175,,1523,,12791,,19494,,GEORGIA,,20201532,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,1646,,14220,,21973,,,NEW YORK CITY,20201512,
ARKANSAS,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,398,,328,,5249,,ARKANSAS,,20201544,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,135,,604,,4468,,6961,,MISSISSIPPI,,20201541,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,108,,510,,1267,,SOUTH DAKOTA,,20201527,POINT (-100.230491 44.43614)
WYOMING,2020,15,,-,1,,1,,2,,,-,0,,,-,,-,,-,59,,518,,565,,WYOMING,,20201556,POINT (-107.55145 42.999627)
MISSOURI,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,792,,6534,,9826,,MISSOURI,,20201524,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,784,,4617,,51149,,57926,,,MIDDLE ATLANTIC,20201509,
CALIFORNIA,2020,15,,-,6,,17,,,-,,-,1,,1,,,-,1090,,4998,,53385,,70361,,CALIFORNIA,,20201559,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,90,,354,,1720,,1392,,WEST VIRGINIA,,20201537,POINT (-80.613729 38.642579)
FLORIDA,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,2644,,27843,,30661,,FLORIDA,,20201531,POINT (-82.420978 28.260731)
MONTANA,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,33,,116,,1215,,1310,,MONTANA,,20201552,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,86,,2172,,18853,,30638,,,WEST NORTH CENTRAL,20201520,
MASSACHUSETTS,2020,15,,-,0,,,-,,-,,-,1,,,-,,-,,-,746,,6956,,9250,,MASSACHUSETTS,,20201505,POINT (-71.481104 42.151077)
MOUNTAIN,2020,15,4,,6,,22,,32,,,-,1,,,-,,-,617,,2955,,33076,,37510,,,MOUNTAIN,20201548,
INDIANA,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,168,,863,,9133,,10042,,INDIANA,,20201516,POINT (-86.2818 39.919991)
US TERRITORIES,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,304,,326,,1695,,,US TERRITORIES,20201563,
US RESIDENTS,2020,16,1,,13,,49,,79,,,-,1,,1,,1,,7085,,35436,,366980,,538084,,,US RESIDENTS,20201601,
NEW HAMPSHIRE,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,13,,124,,801,,1148,,NEW HAMPSHIRE,,20201606,POINT (-71.57139 43.680429)
PACIFIC,2020,17,,-,6,,19,,1,,,-,1,,1,,,-,1509,,6402,,70724,,101323,,,PACIFIC,20201757,
