Reporting Area,MMWR Year,MMWR Week,"Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Current week","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Current week, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Previous 52 weeks Max†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Previous 52 weeks Max†, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2020†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2020†, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2019†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2019†, flag","Chancroid, Current week","Chancroid, Current week, flag","Chancroid, Previous 52 weeks Max†","Chancroid, Previous 52 weeks Max†, flag","Chancroid, Cum 2020†","Chancroid, Cum 2020†, flag","Chancroid, Cum 2019†","Chancroid, Cum 2019†, flag","Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Max†","Chlamydia trachomatis infection, Previous 52 weeks Max†, flag","Chlamydia trachomatis infection, Cum 2020†","Chlamydia trachomatis infection, Cum 2020†, flag","Chlamydia trachomatis infection, Cum 2019†","Chlamydia trachomatis infection, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
TOTAL,2020,24,,-,14,,67,,124,,,-,1,,1,,3,,6956,,36378,,517371,,818292,,,TOTAL,20202470,
NORTH DAKOTA,2020,32,,-,0,,,-,,-,,-,0,,,-,,-,,-,93,,936,,2338,,NORTH DAKOTA,,20203226,POINT (-100.46931 47.446305)
US RESIDENTS,2020,24,,-,14,,67,,124,,,-,1,,1,,3,,6956,,36304,,517043,,815941,,,US RESIDENTS,20202401,
NEW HAMPSHIRE,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,60,,124,,1135,,1644,,NEW HAMPSHIRE,,20202406,POINT (-71.57139 43.680429)
NEW YORK,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,145,,1107,,13543,,22082,,NEW YORK,,20202411,POINT (-75.59655 42.921241)
PACIFIC,2020,24,,-,7,,30,,2,,,-,1,,1,,,-,585,,6395,,89364,,141121,,,PACIFIC,20202457,
WEST SOUTH CENTRAL,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,94,,4102,,39960,,82678,,,WEST SOUTH CENTRAL,20202443,
NEBRASKA,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,,-,244,,2600,,4081,,NEBRASKA,,20202425,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,24,,-,0,,,-,,-,,-,1,,,-,,-,,-,3404,,28349,,52877,,,EAST SOUTH CENTRAL,20202438,
NORTH DAKOTA,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,,-,93,,916,,1789,,NORTH DAKOTA,,20202426,POINT (-100.46931 47.446305)
NEVADA,2020,24,,-,2,,1,,1,,,-,0,,,-,,-,1,,700,,7322,,8138,,NEVADA,,20202453,POINT (-114.916992 39.283294)
ILLINOIS,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,77,,1767,,16901,,36559,,ILLINOIS,,20202415,POINT (-89.148632 40.124144)
IOWA,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,47,,389,,5393,,7256,,IOWA,,20202421,POINT (-93.500061 42.074659)
TEXAS,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,94,,2519,,23370,,49596,,TEXAS,,20202447,POINT (-99.317341 31.447238)
ALASKA,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,,-,151,,1801,,2832,,ALASKA,,20202458,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,2,,247,,2588,,4355,,DISTRICT OF COLUMBIA,,20202430,POINT (-77.016275 38.904785)
WASHINGTON,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,277,,1227,,8282,,15311,,WASHINGTON,,20202462,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,24,,-,8,,,-,,-,,-,1,,,-,1,,95,,1492,,15295,,26735,,,NEW ENGLAND,20202402,
RHODE ISLAND,2020,24,,-,8,,,-,,-,,-,0,,,-,,-,,-,303,,1015,,1818,,RHODE ISLAND,,20202407,POINT (-71.534637 41.572574)
OREGON,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,308,,502,,6729,,8633,,OREGON,,20202461,POINT (-120.605279 43.940449)
DELAWARE,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,,-,222,,1293,,2743,,DELAWARE,,20202429,POINT (-75.452394 38.994926)
ALABAMA,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,,-,824,,5965,,15429,,ALABAMA,,20202439,POINT (-86.844516 32.756889)
KANSAS,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,158,,516,,4923,,13603,,KANSAS,,20202422,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,,-,1570,,21154,,32598,,NORTH CAROLINA,,20202434,POINT (-79.130883 35.52603)
GUAM,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20202466,POINT (144.653198 13.3532)
NEW JERSEY,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,39,,885,,11699,,17738,,NEW JERSEY,,20202410,POINT (-74.655514 40.110253)
NEW MEXICO,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,30,,339,,5038,,6615,,NEW MEXICO,,20202454,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,24,,-,9,,3,,76,,,-,0,,,-,,-,1348,,5740,,78449,,118868,,,EAST NORTH CENTRAL,20202414,
TENNESSEE,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,,-,956,,13918,,18965,,TENNESSEE,,20202442,POINT (-86.343226 35.842998)
CONNECTICUT,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,,-,366,,3560,,6496,,CONNECTICUT,,20202403,POINT (-72.738288 41.575155)
MARYLAND,2020,24,,-,0,,,-,,-,,-,0,,,-,1,,133,,841,,11458,,16896,,MARYLAND,,20202433,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,13507,,SOUTH CAROLINA,,20202435,POINT (-80.864614 33.878572)
OKLAHOMA,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,,-,445,,3651,,8552,,OKLAHOMA,,20202446,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20202465,POINT (145.725693 15.1834)
OHIO,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,682,,1440,,23075,,30083,,OHIO,,20202418,POINT (-82.70936 40.415534)
MINNESOTA,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,10,,583,,7752,,11179,,MINNESOTA,,20202423,POINT (-94.198308 46.349153)
LOUISIANA,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,,-,838,,10041,,16753,,LOUISIANA,,20202445,POINT (-91.840238 30.921314)
HAWAII,2020,24,,-,1,,,-,2,,,-,0,,,-,,-,,-,185,,,-,3521,,HAWAII,,20202460,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,24,,-,0,,,-,,-,,-,0,,,-,1,,2612,,7753,,120246,,175324,,,SOUTH ATLANTIC,20202428,
PENNSYLVANIA,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,746,,1460,,21458,,27766,,PENNSYLVANIA,,20202413,POINT (-77.838886 40.896694)
UTAH,2020,24,,-,2,,4,,4,,,-,0,,,-,,-,,-,276,,3848,,5104,,UTAH,,20202455,POINT (-111.678222 39.323779)
COLORADO,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,428,,1258,,11605,,14084,,COLORADO,,20202450,POINT (-105.547832 38.998552)
VERMONT,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,,-,61,,254,,676,,VERMONT,,20202408,POINT (-72.662695 44.075252)
KENTUCKY,2020,24,,-,0,,,-,,-,,-,1,,,-,,-,,-,2301,,3998,,7362,,KENTUCKY,,20202440,POINT (-85.290484 37.526683)
PUERTO RICO,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,,-,304,,326,,2349,,PUERTO RICO,,20202467,POINT (-66.414655 18.215692)
MAINE,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,35,,106,,1427,,1791,,MAINE,,20202404,POINT (-69.06137 45.117911)
VIRGINIA,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,626,,1127,,17577,,22956,,VIRGINIA,,20202436,POINT (-78.666382 37.510861)
ARIZONA,2020,24,,-,5,,28,,39,,,-,0,,,-,1,,230,,956,,16458,,19885,,ARIZONA,,20202449,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20202464,
WISCONSIN,2020,24,,-,3,,3,,13,,,-,0,,,-,,-,149,,686,,9378,,13224,,WISCONSIN,,20202419,POINT (-89.732969 44.639954)
IDAHO,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,85,,195,,2729,,3230,,IDAHO,,20202451,POINT (-114.659366 44.389073)
TOTAL,2020,21,,-,13,,66,,103,,,-,1,,1,,3,,7074,,36384,,464947,,724284,,,TOTAL,20202170,
US RESIDENTS,2020,21,,-,13,,66,,103,,,-,1,,1,,3,,7074,,36310,,464619,,722139,,,US RESIDENTS,20202101,
NEW HAMPSHIRE,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,,-,124,,940,,1449,,NEW HAMPSHIRE,,20202106,POINT (-71.57139 43.680429)
NEW YORK,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,,-,1112,,13118,,19545,,NEW YORK,,20202111,POINT (-75.59655 42.921241)
PACIFIC,2020,21,,-,7,,29,,2,,,-,1,,1,,,-,2003,,6395,,82934,,124822,,,PACIFIC,20202157,
WEST SOUTH CENTRAL,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,78,,4073,,35731,,74994,,,WEST SOUTH CENTRAL,20202143,
NEBRASKA,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,,-,244,,2600,,3620,,NEBRASKA,,20202125,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,21,,-,0,,,-,,-,,-,1,,,-,,-,,-,3404,,25599,,46539,,,EAST SOUTH CENTRAL,20202138,
NORTH DAKOTA,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,,-,93,,629,,1585,,NORTH DAKOTA,,20202126,POINT (-100.46931 47.446305)
NEVADA,2020,21,,-,2,,1,,,-,,-,0,,,-,,-,,-,694,,6679,,7216,,NEVADA,,20202153,POINT (-114.916992 39.283294)
ILLINOIS,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,61,,1767,,14564,,32387,,ILLINOIS,,20202115,POINT (-89.148632 40.124144)
IOWA,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,72,,389,,4782,,6426,,IOWA,,20202121,POINT (-93.500061 42.074659)
TEXAS,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,78,,2489,,20326,,45519,,TEXAS,,20202147,POINT (-99.317341 31.447238)
ALASKA,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,,-,151,,1694,,2502,,ALASKA,,20202158,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,,-,247,,2398,,3838,,DISTRICT OF COLUMBIA,,20202130,POINT (-77.016275 38.904785)
WASHINGTON,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,285,,1227,,7469,,13732,,WASHINGTON,,20202162,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,21,,-,8,,,-,,-,,-,1,,,-,1,,,-,1491,,13969,,23277,,,NEW ENGLAND,20202102,
RHODE ISLAND,2020,21,,-,8,,,-,,-,,-,0,,,-,,-,,-,303,,1015,,1489,,RHODE ISLAND,,20202107,POINT (-71.534637 41.572574)
OREGON,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,225,,497,,5921,,7579,,OREGON,,20202161,POINT (-120.605279 43.940449)
DELAWARE,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,,-,222,,1293,,2499,,DELAWARE,,20202129,POINT (-75.452394 38.994926)
ALABAMA,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,,-,824,,5965,,13841,,ALABAMA,,20202139,POINT (-86.844516 32.756889)
KANSAS,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,128,,531,,4523,,12142,,KANSAS,,20202122,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,6,,1562,,18436,,28603,,NORTH CAROLINA,,20202134,POINT (-79.130883 35.52603)
GUAM,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20202166,POINT (144.653198 13.3532)
NEW JERSEY,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,2,,887,,10651,,15542,,NEW JERSEY,,20202110,POINT (-74.655514 40.110253)
NEW MEXICO,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,22,,340,,4526,,5828,,NEW MEXICO,,20202154,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,21,,-,8,,3,,60,,,-,0,,,-,,-,1271,,5740,,68714,,104963,,,EAST NORTH CENTRAL,20202114,
TENNESSEE,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,,-,956,,11168,,16825,,TENNESSEE,,20202142,POINT (-86.343226 35.842998)
CONNECTICUT,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,,-,366,,2635,,5534,,CONNECTICUT,,20202103,POINT (-72.738288 41.575155)
MARYLAND,2020,21,,-,0,,,-,,-,,-,0,,,-,1,,173,,841,,10083,,14847,,MARYLAND,,20202133,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,13507,,SOUTH CAROLINA,,20202135,POINT (-80.864614 33.878572)
OKLAHOMA,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,,-,445,,3651,,7553,,OKLAHOMA,,20202146,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20202165,POINT (145.725693 15.1834)
OHIO,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,621,,1440,,20034,,26609,,OHIO,,20202118,POINT (-82.70936 40.415534)
MINNESOTA,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,6,,583,,6324,,9885,,MINNESOTA,,20202123,POINT (-94.198308 46.349153)
U.S. VIRGIN ISLANDS,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20202468,POINT (-64.840836 18.060868)
MICHIGAN,2020,24,,-,6,,,-,63,,,-,0,,,-,,-,149,,1172,,15729,,22887,,MICHIGAN,,20202417,POINT (-85.730977 44.874798)
GEORGIA,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,322,,1523,,20984,,30361,,GEORGIA,,20202432,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,,-,1646,,14220,,34818,,,NEW YORK CITY,20202412,
LOUISIANA,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,,-,838,,9611,,14807,,LOUISIANA,,20202145,POINT (-91.840238 30.921314)
HAWAII,2020,21,,-,1,,,-,2,,,-,0,,,-,,-,,-,185,,,-,3086,,HAWAII,,20202160,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,21,,-,0,,,-,,-,,-,0,,,-,1,,2145,,7729,,105529,,155477,,,SOUTH ATLANTIC,20202128,
PENNSYLVANIA,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,632,,1460,,19376,,24604,,PENNSYLVANIA,,20202113,POINT (-77.838886 40.896694)
UTAH,2020,21,,-,2,,4,,3,,,-,0,,,-,,-,142,,276,,3848,,4460,,UTAH,,20202155,POINT (-111.678222 39.323779)
COLORADO,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,,-,1260,,9905,,12031,,COLORADO,,20202150,POINT (-105.547832 38.998552)
VERMONT,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,,-,61,,239,,588,,VERMONT,,20202108,POINT (-72.662695 44.075252)
KENTUCKY,2020,21,,-,0,,,-,,-,,-,1,,,-,,-,,-,2301,,3998,,6083,,KENTUCKY,,20202140,POINT (-85.290484 37.526683)
PUERTO RICO,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,,-,304,,326,,2143,,PUERTO RICO,,20202167,POINT (-66.414655 18.215692)
MAINE,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,,-,106,,1236,,1620,,MAINE,,20202104,POINT (-69.06137 45.117911)
VIRGINIA,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,501,,1127,,15784,,20222,,VIRGINIA,,20202136,POINT (-78.666382 37.510861)
ARIZONA,2020,21,,-,5,,28,,36,,,-,0,,,-,1,,250,,956,,13990,,17510,,ARIZONA,,20202149,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20202164,
WISCONSIN,2020,21,,-,3,,3,,10,,,-,0,,,-,,-,250,,686,,8517,,11652,,WISCONSIN,,20202119,POINT (-89.732969 44.639954)
IDAHO,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,110,,194,,2423,,2881,,IDAHO,,20202151,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20202168,POINT (-64.840836 18.060868)
MICHIGAN,2020,21,,-,6,,,-,50,,,-,0,,,-,,-,64,,1172,,13909,,20172,,MICHIGAN,,20202117,POINT (-85.730977 44.874798)
GEORGIA,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,204,,1523,,17859,,26508,,GEORGIA,,20202132,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,,-,1646,,14220,,30510,,,NEW YORK CITY,20202112,
ARKANSAS,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,,-,425,,2143,,7115,,ARKANSAS,,20202144,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,,-,605,,4468,,9790,,MISSISSIPPI,,20202141,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,1,,104,,1412,,1816,,SOUTH DAKOTA,,20202127,POINT (-100.230491 44.43614)
WYOMING,2020,21,,-,1,,1,,2,,,-,0,,,-,,-,22,,59,,701,,780,,WYOMING,,20202156,POINT (-107.55145 42.999627)
MISSOURI,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,190,,808,,10921,,13816,,MISSOURI,,20202124,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,634,,4757,,57365,,90201,,,MIDDLE ATLANTIC,20202109,
CALIFORNIA,2020,21,,-,7,,29,,,-,,-,1,,1,,,-,1493,,4996,,67850,,97923,,CALIFORNIA,,20202159,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,78,,354,,2175,,1515,,WEST VIRGINIA,,20202137,POINT (-80.613729 38.642579)
FLORIDA,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,1183,,2629,,37501,,43938,,FLORIDA,,20202131,POINT (-82.420978 28.260731)
MONTANA,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,,-,116,,1515,,1870,,MONTANA,,20202152,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,397,,2409,,31191,,49290,,,WEST NORTH CENTRAL,20202120,
MASSACHUSETTS,2020,21,,-,0,,,-,,-,,-,1,,,-,1,,,-,754,,7904,,12597,,MASSACHUSETTS,,20202105,POINT (-71.481104 42.151077)
MOUNTAIN,2020,21,,-,6,,34,,41,,,-,0,,,-,1,,546,,2954,,43587,,52576,,,MOUNTAIN,20202148,
INDIANA,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,275,,865,,11690,,14143,,INDIANA,,20202116,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,2,,2,,,NON-US RESIDENTS,20202169,
US TERRITORIES,2020,21,,-,0,,,-,,-,,-,0,,,-,,-,,-,304,,326,,2143,,,US TERRITORIES,20202163,
ARKANSAS,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,,-,425,,2898,,7777,,ARKANSAS,,20202444,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,,-,605,,4468,,11121,,MISSISSIPPI,,20202441,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,,-,104,,1412,,2091,,SOUTH DAKOTA,,20202427,POINT (-100.230491 44.43614)
WYOMING,2020,24,,-,1,,1,,2,,,-,0,,,-,,-,20,,59,,775,,920,,WYOMING,,20202456,POINT (-107.55145 42.999627)
MISSOURI,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,212,,808,,11854,,15833,,MISSOURI,,20202424,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,930,,4757,,60920,,102404,,,MIDDLE ATLANTIC,20202409,
CALIFORNIA,2020,24,,-,7,,30,,,-,,-,1,,1,,,-,,-,4996,,72552,,110824,,CALIFORNIA,,20202459,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,69,,354,,2393,,1957,,WEST VIRGINIA,,20202437,POINT (-80.613729 38.642579)
FLORIDA,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,1460,,2628,,42799,,49951,,FLORIDA,,20202431,POINT (-82.420978 28.260731)
MONTANA,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,71,,116,,1835,,2126,,MONTANA,,20202452,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,427,,2409,,34850,,55832,,,WEST NORTH CENTRAL,20202420,
MASSACHUSETTS,2020,24,,-,0,,,-,,-,,-,1,,,-,1,,,-,754,,7904,,14310,,MASSACHUSETTS,,20202405,POINT (-71.481104 42.151077)
MOUNTAIN,2020,24,,-,6,,34,,46,,,-,0,,,-,1,,865,,2889,,49610,,60102,,,MOUNTAIN,20202448,
INDIANA,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,291,,865,,13366,,16115,,INDIANA,,20202416,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,2,,2,,,NON-US RESIDENTS,20202469,
US TERRITORIES,2020,24,,-,0,,,-,,-,,-,0,,,-,,-,,-,304,,326,,2349,,,US TERRITORIES,20202463,
CONNECTICUT,2020,29,,-,0,,,-,,-,,-,0,,,-,,-,,-,366,,3820,,8054,,CONNECTICUT,,20202903,POINT (-72.738288 41.575155)
MAINE,2020,29,,-,0,,,-,,-,,-,0,,,-,,-,,-,106,,1464,,2143,,MAINE,,20202904,POINT (-69.06137 45.117911)
MASSACHUSETTS,2020,29,,-,0,,,-,,-,,-,1,,,-,1,,,-,754,,7904,,17140,,MASSACHUSETTS,,20202905,POINT (-71.481104 42.151077)
VERMONT,2020,29,,-,0,,,-,,-,,-,0,,,-,,-,,-,61,,269,,840,,VERMONT,,20202908,POINT (-72.662695 44.075252)
MIDDLE ATLANTIC,2020,29,,-,0,,,-,,-,,-,0,,,-,,-,1050,,4748,,67179,,122723,,,MIDDLE ATLANTIC,20202909,
NEW YORK CITY,2020,29,,-,0,,,-,,-,,-,0,,,-,,-,,-,1647,,14429,,41884,,,NEW YORK CITY,20202912,
PENNSYLVANIA,2020,29,,-,0,,,-,,-,,-,0,,,-,,-,876,,1459,,26093,,33175,,PENNSYLVANIA,,20202913,POINT (-77.838886 40.896694)
EAST NORTH CENTRAL,2020,29,,-,27,,59,,237,,,-,0,,,-,,-,1715,,5736,,95447,,142403,,,EAST NORTH CENTRAL,20202914,
INDIANA,2020,29,,-,22,,56,,142,,,-,0,,,-,,-,329,,856,,16550,,19192,,INDIANA,,20202916,POINT (-86.2818 39.919991)
MICHIGAN,2020,29,,-,6,,,-,80,,,-,0,,,-,,-,328,,1184,,19033,,27416,,MICHIGAN,,20202917,POINT (-85.730977 44.874798)
OHIO,2020,29,,-,0,,,-,,-,,-,0,,,-,,-,725,,1440,,28688,,36237,,OHIO,,20202918,POINT (-82.70936 40.415534)
WISCONSIN,2020,29,,-,3,,3,,15,,,-,0,,,-,,-,264,,686,,12051,,15821,,WISCONSIN,,20202919,POINT (-89.732969 44.639954)
WEST NORTH CENTRAL,2020,29,,-,0,,,-,,-,,-,0,,,-,,-,257,,2409,,41268,,66710,,,WEST NORTH CENTRAL,20202920,
MINNESOTA,2020,29,,-,0,,,-,,-,,-,0,,,-,,-,43,,584,,10016,,13388,,MINNESOTA,,20202923,POINT (-94.198308 46.349153)
MISSOURI,2020,29,,-,0,,,-,,-,,-,0,,,-,,-,,-,808,,12334,,19024,,MISSOURI,,20202924,POINT (-92.477244 38.3675)
SOUTH DAKOTA,2020,29,,-,0,,,-,,-,,-,0,,,-,,-,,-,100,,1916,,2525,,SOUTH DAKOTA,,20202927,POINT (-100.230491 44.43614)
SOUTH ATLANTIC,2020,29,,-,0,,,-,,-,,-,0,,,-,1,,999,,7786,,145168,,209949,,,SOUTH ATLANTIC,20202928,
FLORIDA,2020,29,,-,0,,,-,,-,,-,0,,,-,,-,,-,2629,,49861,,60560,,FLORIDA,,20202931,POINT (-82.420978 28.260731)
GEORGIA,2020,29,,-,0,,,-,,-,,-,0,,,-,,-,100,,1523,,25885,,37221,,GEORGIA,,20202932,POINT (-83.426574 32.638481)
MARYLAND,2020,29,,-,0,,,-,,-,,-,0,,,-,1,,203,,841,,14500,,20468,,MARYLAND,,20202933,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,29,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,13507,,SOUTH CAROLINA,,20202935,POINT (-80.864614 33.878572)
VIRGINIA,2020,29,,-,0,,,-,,-,,-,0,,,-,,-,631,,1126,,21538,,27309,,VIRGINIA,,20202936,POINT (-78.666382 37.510861)
WEST VIRGINIA,2020,29,,-,0,,,-,,-,,-,0,,,-,,-,61,,277,,2778,,3080,,WEST VIRGINIA,,20202937,POINT (-80.613729 38.642579)
KENTUCKY,2020,29,,-,0,,,-,,-,,-,1,,,-,1,,,-,2301,,3998,,9443,,KENTUCKY,,20202940,POINT (-85.290484 37.526683)
MISSISSIPPI,2020,29,,-,0,,,-,,-,,-,0,,,-,,-,168,,605,,5100,,13621,,MISSISSIPPI,,20202941,POINT (-89.65344 32.713378)
TENNESSEE,2020,29,,-,0,,,-,,-,,-,0,,,-,,-,446,,956,,17129,,22809,,TENNESSEE,,20202942,POINT (-86.343226 35.842998)
ARKANSAS,2020,29,,-,0,,,-,,-,,-,0,,,-,,-,,-,425,,5377,,9367,,ARKANSAS,,20202944,POINT (-92.439162 34.899825)
